desc,pool,IS_n_assets,IS_ok,IS_n_eff,IS_combined_p_naive,IS_trades,IS_trades_per_asset,IS_edge_med,IS_edge_pos,IS_pf_med,IS_win_med,IS_sig_frac,IS_combined_z,IS_combined_p,IS_edge_pos_crypto,IS_edge_pos_equity,IS_edge_pos_cfx,OOS_n_assets,OOS_ok,OOS_n_eff,OOS_combined_p_naive,OOS_trades,OOS_trades_per_asset,OOS_edge_med,OOS_edge_pos,OOS_pf_med,OOS_win_med,OOS_sig_frac,OOS_combined_z,OOS_combined_p,OOS_edge_pos_crypto,OOS_edge_pos_equity,OOS_edge_pos_cfx
clspos[t-3]>=0.3 & rngrank[t-1]<=0.3 & gap[t-2]<=-0.2,open,16,True,5.399309347261397,1.4949611050162316e-05,1319,79.0,0.0039040484549494447,0.9375,1.7448235046614369,0.5796703296703296,0.1875,2.424854893526445,0.007657253309342351,1.0,0.8888888888888888,1.0,20,True,4.7674707587581056,0.5193046119833069,1396,78.5,6.509818986326701e-06,0.5,1.0291193331609323,0.5056557087310003,0.05,-0.02363467445101644,0.5094279931710989,0.6,0.3333333333333333,0.6666666666666666
clspos[t-3]>=0.3 & rngrank[t-2]<=0.3 & gap[t-1]<=-0.2,strict,17,True,4.636013172611471,1.534697951770992e-05,1481,97.0,0.004013157342876463,0.9411764705882353,1.8756016845062997,0.5806451612903226,0.11764705882352941,2.176718235446658,0.01475079843278129,0.5,1.0,1.0,22,True,6.604332460250922,0.5525899737707503,1618,90.5,5.590274530075908e-05,0.5454545454545454,1.0894936494919958,0.4953433240199814,0.0,-0.07243687405541549,0.5288728796977249,0.42857142857142855,0.4444444444444444,0.8333333333333334
lower[t-1]>=0.2 & gap[t-2]<=-0.2 & gap[t-3]<=0.2,strict,17,True,8.552781212725044,0.00033853389551521604,1875,118.0,0.0022562926415714674,0.9411764705882353,1.51593567500864,0.5737704918032787,0.11764705882352941,2.4106942649746226,0.007961094677352905,1.0,1.0,0.8333333333333334,21,True,7.586589655333419,0.5832585708816315,2238,135.0,-0.001410381541833849,0.42857142857142855,0.9227817382307609,0.47101449275362317,0.0,-0.12636371625765488,0.5502779889452571,0.5,0.2222222222222222,0.6666666666666666
lower[t-1]>=0.35 & rngrank[t-1]<=0.3 & gap[t-2]<=-0.2,open,16,True,5.212979137129217,0.0014239098309718169,707,42.5,0.0030549653039321873,0.9375,1.8885480855056183,0.6019736842105263,0.0625,1.7030945662398846,0.04427518632986257,1.0,0.8888888888888888,1.0,17,True,4.051723673550976,0.6163157124487182,758,45.0,-0.0026543834964257353,0.4117647058823529,0.8892663099126111,0.5,0.0,-0.14441789413725967,0.5574147562746286,0.5,0.3333333333333333,0.5
lower[t-3]>=0.2 & rngrank[t-1]<=0.3 & gap[t-2]<=-0.2,open,16,True,5.2990744493994955,4.976812068798686e-05,1094,66.0,0.003616167636264052,0.9375,1.7841148019425617,0.5959183673469388,0.1875,2.239657251705345,0.01255659140842799,0.0,1.0,1.0,19,True,3.8554429263602823,0.6339926105100919,1083,60.0,-0.0018868789405771746,0.47368421052631576,1.0006680570396271,0.53125,0.05263157894736842,-0.1542599810552274,0.5612976249714555,0.5,0.2222222222222222,0.8333333333333334
rngrank[t-1]<=0.3 & gap[t-2]<=-0.2 & bull[t-2]>=0.5,strict,16,True,4.018500613458265,4.750295501971008e-05,936,64.5,0.004364461462194522,0.9375,1.8089092896592505,0.6038085608358612,0.1875,1.9560100749157772,0.025231983640720535,1.0,0.8888888888888888,1.0,18,True,3.685778372709416,0.6334841755750459,970,58.5,-0.0008144735768221092,0.4444444444444444,0.9454622326798852,0.540625,0.05555555555555555,-0.1543492109225446,0.5613328012633949,0.6666666666666666,0.2222222222222222,0.6666666666666666
rngrank[t-1]<=0.3 & rngrank[t-3]<=0.8 & gap[t-3]<=-0.2,open,16,True,6.89542883967874,1.771864255734656e-05,1498,83.5,0.004346204267086407,0.9375,1.9121269751357888,0.6193754610277846,0.1875,2.7147867778659687,0.0033159226825722633,0.0,1.0,1.0,22,True,6.798868422766713,0.6236020984458417,1628,82.0,-0.0010523347115719542,0.36363636363636365,0.9127984804705613,0.4928571428571429,0.045454545454545456,-0.17508765159530282,0.5694946195031099,0.2857142857142857,0.2222222222222222,0.6666666666666666
lower[t-2]>=0.2 & rngrank[t-2]<=0.3 & gap[t-2]<=-0.2,strict,16,True,3.5886615107673046,2.4041278474619292e-05,1062,63.5,0.004428156788862556,0.9375,2.0188669721934516,0.5997498436522827,0.25,1.9250447575978138,0.02711187954810123,1.0,1.0,0.8333333333333334,16,True,2.8863235922446355,0.6809514633982753,1203,72.5,-0.00014066499890647837,0.375,1.01609317493898,0.532337626747054,0.0,-0.1997762640917145,0.5791722171900168,0.0,0.2222222222222222,0.6666666666666666
lower[t-2]>=0.2 & rngrank[t-2]<=0.3 & gap[t-3]<=-0.2,open,16,True,4.960974482926182,0.0004372690227175572,1137,68.5,0.003307823305449762,0.9375,1.901515858714928,0.5975490196078432,0.125,1.8531660289597167,0.03192928257589755,1.0,0.8888888888888888,1.0,19,True,4.54110814236884,0.6665065538296805,1196,69.0,0.0005700971142595032,0.5263157894736842,0.8731264702558672,0.5138888888888888,0.0,-0.21035959848762867,0.5833064885699625,0.75,0.2222222222222222,0.8333333333333334
upper[t-1]>=0.2 & rngrank[t-1]<=0.3 & gap[t-3]<=-0.2,open,16,True,6.156478946410673,9.13572072232698e-05,1063,66.0,0.004065924811115451,0.9375,1.8020868837549038,0.5985074626865672,0.1875,2.3210557877647457,0.010141916567132515,1.0,0.8888888888888888,1.0,19,True,5.151746717768436,0.688952043218466,1156,67.0,-0.002225424661267364,0.42105263157894735,0.9612747006575953,0.5138888888888888,0.05263157894736842,-0.2566513039376721,0.6012760168290732,0.25,0.4444444444444444,0.5
