desc,pool,IS_n_assets,IS_ok,IS_n_eff,IS_combined_p_naive,IS_trades,IS_trades_per_asset,IS_edge_med,IS_edge_pos,IS_pf_med,IS_win_med,IS_sig_frac,IS_combined_z,IS_combined_p,IS_edge_pos_crypto,IS_edge_pos_equity,IS_edge_pos_cfx,OOS_n_assets,OOS_ok,OOS_n_eff,OOS_combined_p_naive,OOS_trades,OOS_trades_per_asset,OOS_edge_med,OOS_edge_pos,OOS_pf_med,OOS_win_med,OOS_sig_frac,OOS_combined_z,OOS_combined_p,OOS_edge_pos_crypto,OOS_edge_pos_equity,OOS_edge_pos_cfx
opnpos[t-1]<=0.7 & gap[t-2]<=-0.2 & gap[t-3]>=-0.2 & close<prev_low,strict,16,True,2.9613453940089975,1.0741942928940129e-06,652,35.0,0.007916936758135878,1.0,1.7618986269525863,0.5602564102564103,0.3125,2.0387584389220836,0.02073707106775865,1.0,1.0,1.0,17,True,5.543699450041342,0.1544986726612394,684,39.0,0.0012301109860999,0.5882352941176471,1.1619453196306397,0.5,0.11764705882352941,0.5809469064653816,0.2806381187360271,0.5,0.6666666666666666,0.5
rngrank[t-2]>=0.8 & chg[t-1]>=-0.5 & chg[t-1]<=0.5 & close<prev_low,strict,30,True,3.9609237699929083,6.338061161380568e-10,1328,41.5,0.009112354882578094,0.9666666666666667,1.3583311474276387,0.4928571428571429,0.16666666666666666,2.206124236318782,0.013687651088674655,0.9333333333333333,1.0,1.0,30,True,3.772419877243415,0.07470367828474822,1461,46.5,0.0009747857405801642,0.6333333333333333,0.8771502922754062,0.4284090909090909,0.06666666666666667,0.5112138147679645,0.304600673125213,0.4666666666666667,0.7777777777777778,0.8333333333333334
upper[t-2]>=0.2 & gap[t-1]>=0.0 & chg[t-3]<=-0.5 & close>high3,open,25,True,10.2110143825156,0.0009268816104212432,431,16.0,0.004757801003232049,0.96,1.69282846996943,0.6153846153846154,0.08,1.989314692216255,0.023333239497764103,0.9,1.0,1.0,26,True,13.70691820265838,0.24319589971667038,485,17.5,-0.004170650716940047,0.4230769230769231,1.0200803278093553,0.4494949494949495,0.15384615384615385,0.5053931736375169,0.30664135624472194,0.36363636363636365,0.6666666666666666,0.16666666666666666
clspos[t-1]<=0.7 & opnpos[t-3]<=0.5 & gap[t-2]<=-0.2 & close<prev_low,open,15,True,2.485738951384609,0.00038181637490746975,601,32.0,0.004462213222192444,1.0,1.7550363016060346,0.5789473684210527,0.06666666666666667,1.3700966407846804,0.08532836815621725,,1.0,1.0,16,True,2.3898759134866387,0.09841997322504409,767,47.5,0.0026469304406587946,0.625,1.2295810848392597,0.516025641025641,0.125,0.4987945974254209,0.3089620469874903,0.0,0.8888888888888888,0.3333333333333333
body[t-3]>=0.3 & opnpos[t-2]<=0.3 & gap[t-2]<=-0.2 & close<prev_low,open,15,True,3.7276720600075386,0.0003501979289582542,367,21.0,0.004898669938525859,1.0,1.6999230450929328,0.6,0.13333333333333333,1.6896592787717897,0.04554657900742684,,1.0,1.0,16,True,4.269413020456512,0.17040894527549877,412,25.0,0.0026485070497363344,0.6875,1.3197710617269887,0.49242424242424243,0.0,0.4920532247933349,0.31134085891025964,0.0,0.7777777777777778,0.6666666666666666
opnpos[t-2]>=0.5 & rngrank[t-2]>=0.5 & chg[t-1]>=-0.5 & close<prev_low,strict,30,True,3.7141351872684907,6.486469556602414e-10,1718,56.5,0.008204050343886073,0.9666666666666667,1.3163999368573442,0.5198412698412698,0.2,2.1349838532896075,0.01638116453167712,0.9333333333333333,1.0,1.0,30,True,4.129988714636683,0.09780617609767722,1820,60.5,0.0012916912679294553,0.6,0.9255247007399172,0.4533468559837728,0.06666666666666667,0.4801751133125195,0.31555144065424157,0.5333333333333333,0.4444444444444444,1.0
clspos[t-3]<=0.7 & chg[t-1]>=0.5 & chg[t-3]<=-0.5 & close>high3,strict,28,True,8.26677706496812,1.9302667037230094e-05,568,20.0,0.007731762942692227,1.0,1.6696548193027156,0.5477272727272727,0.14285714285714285,2.236298800132794,0.01266610249963205,1.0,1.0,1.0,30,True,6.1642277015853555,0.14588223866038647,711,20.5,0.0013624620060003765,0.5333333333333333,0.8586340141457085,0.4578804347826087,0.1,0.47788776925372817,0.3163650435156976,0.4666666666666667,0.6666666666666666,0.5
clspos[t-1]<=0.7 & rngrank[t-3]<=0.3 & gap[t-3]<=-0.2 & close>prev_high,open,15,True,6.3306259601424735,0.00029695402935373514,276,15.0,0.013608513826148909,1.0,4.08867769075689,0.6666666666666666,0.06666666666666667,2.2311368646854004,0.012836032245747787,,1.0,1.0,15,True,6.801176632200382,0.25353186305011555,293,17.0,0.0020065449073200198,0.6,1.2790662069657097,0.5333333333333333,0.06666666666666667,0.44671731261447406,0.3275395900390319,,0.6666666666666666,0.5
chg[t-1]>=0.0 & chg[t-1]>=0.5 & chg[t-3]<=-0.5 & close>high3,open,28,True,8.281265472591276,5.022569461664511e-06,620,21.0,0.00841945070634553,0.9642857142857143,1.7983153270045373,0.5532150776053215,0.10714285714285714,2.4016959207406505,0.008159633781541586,1.0,0.8888888888888888,1.0,30,True,6.525906030617701,0.19309382311740336,765,23.0,0.0015217942125270816,0.5333333333333333,0.8586340141457085,0.46906887755102045,0.1,0.40416090090818735,0.3430472017166085,0.4666666666666667,0.6666666666666666,0.5
chg[t-1]>=-0.5 & chg[t-1]>=0.5 & chg[t-3]<=-0.5 & close>high3,open,28,True,8.281265472591276,4.619978840843622e-06,620,21.0,0.00841945070634553,0.9642857142857143,1.7983153270045373,0.5532150776053215,0.14285714285714285,2.4115045930771966,0.007943425873317188,1.0,0.8888888888888888,1.0,30,True,6.525906030617701,0.20388374895362077,765,23.0,0.0015217942125270816,0.5333333333333333,0.8586340141457085,0.46906887755102045,0.1,0.38610042409531714,0.34971114788533847,0.4666666666666667,0.6666666666666666,0.5
