desc,pool,IS_n_assets,IS_ok,IS_n_eff,IS_combined_p_naive,IS_trades,IS_trades_per_asset,IS_edge_med,IS_edge_pos,IS_pf_med,IS_win_med,IS_sig_frac,IS_combined_z,IS_combined_p,IS_edge_pos_crypto,IS_edge_pos_equity,IS_edge_pos_cfx,OOS_n_assets,OOS_ok,OOS_n_eff,OOS_combined_p_naive,OOS_trades,OOS_trades_per_asset,OOS_edge_med,OOS_edge_pos,OOS_pf_med,OOS_win_med,OOS_sig_frac,OOS_combined_z,OOS_combined_p,OOS_edge_pos_crypto,OOS_edge_pos_equity,OOS_edge_pos_cfx,OOS_reason
lower[t-1]>=0.35 & rngrank[t-2]<=0.8 & gap[t-1]>=0.2,strict,16,True,4.548817252750046,1.0523328497484094e-06,1988,127.5,0.002371419802638712,1.0,1.413955728958964,0.5443694862480539,0.25,2.529018695615496,0.005719096710519594,1.0,1.0,1.0,19,True,10.598527785730525,0.4820505789199228,1895.0,118.0,0.0005980765583035392,0.5789473684210527,1.2177410090954717,0.5310344827586206,0.05263157894736842,0.03361498763474446,0.48659208530927234,0.25,0.6666666666666666,0.6666666666666666,
clspos[t-1]>=0.85 & clspos[t-2]>=0.5 & gap[t-2]>=0.2,open,15,True,5.383259831031714,0.004048626264932072,745,47.0,0.003405790826267404,1.0,1.7554853747282448,0.5645161290322581,0.0,1.5863279198302402,0.05633247100189228,,1.0,1.0,15,True,5.940487097244893,0.4867311626342895,755.0,49.0,0.001948754230486185,0.6666666666666666,1.3505828741520363,0.55,0.06666666666666667,0.02093477508736136,0.49164884309444173,,0.8888888888888888,0.3333333333333333,
rngrank[t-2]<=0.8 & gap[t-1]>=0.2 & gap[t-3]<=0.0,strict,17,True,4.713127280172823,6.972989882261462e-06,2685,170.0,0.002548827399554687,0.9411764705882353,1.363732743052709,0.546583850931677,0.23529411764705882,2.287657023650263,0.011078751146324096,1.0,1.0,0.8333333333333334,20,True,5.7526329849096065,0.5062211389773954,2875.0,171.5,-0.000972664216583288,0.35,1.0199292247589233,0.48598130841121495,0.1,-0.008363648571010018,0.5033365741341128,0.0,0.4444444444444444,0.5,
upper[t-2]<=0.2 & lower[t-3]<=0.2 & gap[t-2]>=0.2 & close>prev_high,open,15,True,7.4491305736019475,0.00047978722241749834,482,31.0,0.004654814780222631,1.0,1.796587439780379,0.6129032258064516,0.2,2.327018564478768,0.009982138602242731,,1.0,1.0,15,True,5.025359192483586,0.5144293751518876,507.0,35.0,-0.00025494469586057663,0.4,1.0790958053869961,0.5510204081632653,0.06666666666666667,-0.02093968324520155,0.508353114548109,,0.3333333333333333,0.5,
gap[t-1]<=-0.2 & gap[t-3]>=0.2 & chg[t-1]>=-0.5 & close>prev_close,open,15,True,8.83845311396821,0.003585968139458056,470,29.0,0.003081367613141719,1.0,1.590775066804253,0.5769230769230769,0.06666666666666667,2.063922979301833,0.01951250980063382,,1.0,1.0,15,True,5.970865733092716,0.5497107728386599,514.0,35.0,-0.0003234453376566855,0.4,1.179873246179095,0.5277777777777778,0.0,-0.07882101408379416,0.5314125053873398,,0.6666666666666666,0.0,
lower[t-3]>=0.5 & opnpos[t-1]>=0.5 & gap[t-3]>=0.2,open,16,True,3.2068717105252103,0.005030959772402552,643,41.0,0.00658836719782172,0.9375,1.5272719175293117,0.5372340425531915,0.0625,1.1522261465054588,0.12461407803407765,1.0,1.0,0.8333333333333334,16,True,5.124501559099444,0.5892288716352116,566.0,35.0,-0.0006699754874518691,0.4375,1.1877303846357672,0.5852402745995423,0.0625,-0.12765310095295895,0.5507882468195996,0.0,0.4444444444444444,0.5,
lower[t-1]>=0.35 & gap[t-1]>=0.0 & gap[t-2]<=-0.2 & close>prev_high,open,15,True,2.6485579680499263,0.000776669161550049,369,23.0,0.005089438998322827,1.0,1.5275462506440565,0.55,0.06666666666666667,1.3297447411791454,0.091801194054207,,1.0,1.0,15,True,3.738056204592238,0.6017858182406961,428.0,28.0,-0.0002634825846212496,0.4666666666666667,1.0099144178086652,0.5,0.06666666666666667,-0.12878052431603934,0.5512343417320612,,0.5555555555555556,0.3333333333333333,
lower[t-2]<=0.2 & opnpos[t-1]>=0.7 & chg[t-1]>=0.0 & close>prev_close,strict,19,True,8.442709792979652,0.0018130173189364004,331,18.0,0.005150586735441492,0.9473684210526315,1.4299004926758128,0.5666666666666667,0.05263157894736842,1.9391245919224445,0.026243084448703106,1.0,1.0,0.8333333333333334,21,True,21.0,0.5562050172003492,400.0,18.0,-0.00014396069376893233,0.47619047619047616,1.0275379304868535,0.5,0.0,-0.14135441317748923,0.5562050172003492,0.3333333333333333,0.6666666666666666,0.3333333333333333,
clspos[t-1]>=0.5 & clspos[t-2]>=0.85 & gap[t-1]>=0.2,open,15,True,4.70998124351078,0.0037762974181470453,711,44.0,0.0022268469946703506,1.0,1.6625230238221782,0.5681818181818182,0.13333333333333333,1.4969587576046781,0.06720199487648247,,1.0,1.0,15,True,4.515284130749165,0.6053890500764052,666.0,46.0,-3.0292672452784768e-05,0.4666666666666667,1.198071794972981,0.5483870967741935,0.06666666666666667,-0.14666626810388778,0.5583022776130706,,0.5555555555555556,0.3333333333333333,
upper[t-2]>=0.35 & clspos[t-1]>=0.5 & chg[t-2]<=-0.5 & close>prev_high,strict,16,True,7.44788149106244,0.00012073470055297547,240,14.5,0.006666291865174388,0.9375,1.8831262323535354,0.5849282296650717,0.1875,2.504710502835806,0.006127582782207196,1.0,0.8888888888888888,1.0,16,True,11.680833367364102,0.5952871386465289,281.0,17.5,-0.00033648643531523415,0.5,1.043244586137119,0.5539772727272727,0.0625,-0.206060485810668,0.5816281679433035,0.0,0.5555555555555556,0.5,
